support,itemsets
0.00183913855311741,frozenset({'SKU_8671343'})
0.0012073734012831851,frozenset({'SKU_8711343'})
0.002864002021648486,frozenset({'SKU_8712840'})
0.017296325934661443,frozenset({'SKU_8718362'})
0.0035519240758679752,frozenset({'SKU_8728362'})
0.0029482373752263823,frozenset({'SKU_8748362'})
0.0025551390585295316,frozenset({'SKU_8768012'})
0.0019093346810989905,frozenset({'SKU_8788012'})
0.006570357579075938,frozenset({'SKU_8791356'})
0.010009967850173385,frozenset({'SKU_8798636'})
0.002793805893666905,frozenset({'SKU_8912390'})
0.0028218843448595374,frozenset({'SKU_8922390'})
0.00602282778081961,frozenset({'SKU_8942943'})
0.002246276095410577,frozenset({'SKU_8963391'})
0.0010108242429347598,frozenset({'SKU_8976669'})
0.003804630136601665,frozenset({'SKU_9004350'})
0.0025972567353184798,frozenset({'SKU_9014350'})
0.0014741186876131912,frozenset({'SKU_9087642'})
0.0028078451192632215,frozenset({'SKU_9124803'})
0.0016145109435763522,frozenset({'SKU_9154793'})
0.003945022392564826,frozenset({'SKU_9168271'})
0.0019935700346768873,frozenset({'SKU_9178271'})
0.002049726937062152,frozenset({'SKU_9248504'})
0.003650198655042188,frozenset({'SKU_9257426'})
0.0019233739066953066,frozenset({'SKU_9267426'})
0.011090988221089724,frozenset({'SKU_9277426'})
0.004759297477151161,frozenset({'SKU_9288109'})
0.003692316331831136,frozenset({'SKU_9297426'})
0.0032290218871527045,frozenset({'SKU_9304227'})
0.0025410998329332152,frozenset({'SKU_9307426'})
0.0034255710455011303,frozenset({'SKU_9364227'})
0.011245419702649202,frozenset({'SKU_9402188'})
0.0020356877114658355,frozenset({'SKU_9411343'})
0.0028359235704558537,frozenset({'SKU_9424350'})
0.002372629125777422,frozenset({'SKU_9434350'})
0.0037344340086200847,frozenset({'SKU_9448352'})
0.0020216484858695196,frozenset({'SKU_9454350'})
0.004015218520546406,frozenset({'SKU_9458352'})
0.0015443148155947718,frozenset({'SKU_9498352'})
0.003004394277611647,frozenset({'SKU_9504350'})
0.0036221202038495557,frozenset({'SKU_9507519'})
0.008409496132193349,frozenset({'SKU_9526376'})
0.0033834533687121817,frozenset({'SKU_9552306'})
0.001558354041191088,frozenset({'SKU_9579904'})
0.005096238891462747,frozenset({'SKU_9594893'})
0.0051945134706369595,frozenset({'SKU_9667426'})
0.0024428252537590026,frozenset({'SKU_9702306'})
0.0017408639739431972,frozenset({'SKU_9752306'})
0.0009406281149531791,frozenset({'SKU_9782306'})
0.0030745904055932273,frozenset({'SKU_9836218'})
0.0019374131322916228,frozenset({'SKU_9880895'})
0.0021199230650437322,frozenset({'SKU_9891900'})
0.002625335186511112,frozenset({'SKU_9908506'})
0.004267924581280096,frozenset({'SKU_9911900'})
0.0018812562299063583,frozenset({'SKU_9919950'})
0.0017689424251358294,frozenset({'SKU_9999170'})
0.002513021381740583,frozenset({'SKU_9999950'})
0.0007160005054121215,"frozenset({'SKU_108507', 'SKU_1400555'})"
0.0005475297982563282,"frozenset({'SKU_264715', 'SKU_348498'})"
0.0005054121214673799,"frozenset({'SKU_264715', 'SKU_803921'})"
0.0010108242429347598,"frozenset({'SKU_264715', 'SKU_3524026'})"
0.0006177259262379087,"frozenset({'SKU_264715', 'SKU_3559555'})"
0.0012635303036684497,"frozenset({'SKU_264715', 'SKU_3978011'})"
0.000533490572660012,"frozenset({'SKU_264715', 'SKU_3998011'})"
0.0014179617852279269,"frozenset({'SKU_264715', 'SKU_4108011'})"
0.000786196633393702,"frozenset({'SKU_264715', 'SKU_7064350'})"
0.000519451347063696,"frozenset({'SKU_264715', 'SKU_7261032'})"
0.000645804377430541,"frozenset({'SKU_9402188', 'SKU_264715'})"
0.0007019612798158054,"frozenset({'SKU_348498', 'SKU_3524026'})"
0.0014039225596316107,"frozenset({'SKU_348498', 'SKU_3582465'})"
0.0006317651518342248,"frozenset({'SKU_3978011', 'SKU_348498'})"
0.0007019612798158054,"frozenset({'SKU_4108011', 'SKU_348498'})"
0.000645804377430541,"frozenset({'SKU_9402188', 'SKU_348498'})"
0.0008002358589900181,"frozenset({'SKU_726718', 'SKU_803921'})"
0.0008423535357789664,"frozenset({'SKU_726718', 'SKU_3524026'})"
0.0013898833340352946,"frozenset({'SKU_726718', 'SKU_3978011'})"
0.0006879220542194892,"frozenset({'SKU_726718', 'SKU_4108011'})"
0.0006598436030268571,"frozenset({'SKU_776350', 'SKU_8798636'})"
0.0005054121214673799,"frozenset({'SKU_2726578', 'SKU_803921'})"
0.0005054121214673799,"frozenset({'SKU_3161221', 'SKU_803921'})"
0.0012494910780721335,"frozenset({'SKU_803921', 'SKU_3524026'})"
0.00133372643165003,"frozenset({'SKU_3559555', 'SKU_803921'})"
0.0005054121214673799,"frozenset({'SKU_3690654', 'SKU_803921'})"
0.001193334175686869,"frozenset({'SKU_3898011', 'SKU_803921'})"
0.0011512164988979209,"frozenset({'SKU_3968011', 'SKU_803921'})"
0.0020637661626584677,"frozenset({'SKU_3978011', 'SKU_803921'})"
0.0006598436030268571,"frozenset({'SKU_803921', 'SKU_3998011'})"
0.0013477656572463462,"frozenset({'SKU_4108011', 'SKU_803921'})"
0.0010810203709163402,"frozenset({'SKU_6318344', 'SKU_803921'})"
0.0005756082494489604,"frozenset({'SKU_7808101', 'SKU_803921'})"
0.000912549663760547,"frozenset({'SKU_7382655', 'SKU_1009332'})"
0.001038902694127392,"frozenset({'SKU_7382655', 'SKU_1069332'})"
0.0005896474750452766,"frozenset({'SKU_1206132', 'SKU_8718362'})"
0.0007721574077973859,"frozenset({'SKU_2698353', 'SKU_1832285'})"
0.0006598436030268571,"frozenset({'SKU_1832285', 'SKU_3524026'})"
0.0005756082494489604,"frozenset({'SKU_3864099', 'SKU_1832285'})"
0.0006177259262379087,"frozenset({'SKU_1832285', 'SKU_3868338'})"
0.0007160005054121215,"frozenset({'SKU_1832285', 'SKU_3978011'})"
0.0005475297982563282,"frozenset({'SKU_4108011', 'SKU_1832285'})"
0.000645804377430541,"frozenset({'SKU_1832285', 'SKU_4976322'})"
0.0019935700346768873,"frozenset({'SKU_1832285', 'SKU_4992993'})"
0.0005615690238526443,"frozenset({'SKU_4992993', 'SKU_1842285'})"
0.0008844712125679147,"frozenset({'SKU_2072671', 'SKU_4992993'})"
0.0005756082494489604,"frozenset({'SKU_2366897', 'SKU_2698353'})"
0.000533490572660012,"frozenset({'SKU_2571221', 'SKU_3161221'})"
0.0005475297982563282,"frozenset({'SKU_2688353', 'SKU_8123420'})"
0.0005896474750452766,"frozenset({'SKU_9257426', 'SKU_2688353'})"
0.0005054121214673799,"frozenset({'SKU_3864099', 'SKU_2698353'})"
0.0005054121214673799,"frozenset({'SKU_2698353', 'SKU_3868338'})"
0.0005475297982563282,"frozenset({'SKU_2698353', 'SKU_3978011'})"
0.0007160005054121215,"frozenset({'SKU_2698353', 'SKU_4062567'})"
0.0017970208763284617,"frozenset({'SKU_2698353', 'SKU_9277426'})"
0.0007721574077973859,"frozenset({'SKU_9667426', 'SKU_2698353'})"
0.000519451347063696,"frozenset({'SKU_2716578', 'SKU_3611367'})"
0.0010950595965126563,"frozenset({'SKU_3898011', 'SKU_2716578'})"
0.0016847070715579329,"frozenset({'SKU_3908011', 'SKU_2716578'})"
0.0013898833340352946,"frozenset({'SKU_3968011', 'SKU_2716578'})"
0.0022883937721995254,"frozenset({'SKU_2716578', 'SKU_3988011'})"
0.0006036867006415926,"frozenset({'SKU_2726578', 'SKU_3611367'})"
0.0007440789566047536,"frozenset({'SKU_2726578', 'SKU_3631365'})"
0.0016566286203653006,"frozenset({'SKU_3898011', 'SKU_2726578'})"
0.0014039225596316107,"frozenset({'SKU_3908011', 'SKU_2726578'})"
0.0015302755899984557,"frozenset({'SKU_2726578', 'SKU_3978011'})"
0.000645804377430541,"frozenset({'SKU_2726578', 'SKU_3988011'})"
0.002990355052015331,"frozenset({'SKU_2726578', 'SKU_3998011'})"
0.0005054121214673799,"frozenset({'SKU_6318344', 'SKU_2726578'})"
0.0006738828286231731,"frozenset({'SKU_3619770', 'SKU_2783996'})"
0.0006317651518342248,"frozenset({'SKU_3629770', 'SKU_2783996'})"
0.0014039225596316107,"frozenset({'SKU_5528349', 'SKU_2783996'})"
0.0018812562299063583,"frozenset({'SKU_8718362', 'SKU_2783996'})"
0.0021480015162363645,"frozenset({'SKU_2783996', 'SKU_8798636'})"
0.0005475297982563282,"frozenset({'SKU_2988370', 'SKU_8338370'})"
0.000645804377430541,"frozenset({'SKU_3013129', 'SKU_3524026'})"
0.0005615690238526443,"frozenset({'SKU_3978011', 'SKU_3013129'})"
0.000645804377430541,"frozenset({'SKU_4108011', 'SKU_3013129'})"
0.0006036867006415926,"frozenset({'SKU_3978011', 'SKU_3161221'})"
0.0005756082494489604,"frozenset({'SKU_4108011', 'SKU_3161221'})"
0.0005756082494489604,"frozenset({'SKU_3161221', 'SKU_4976322'})"
0.0016847070715579329,"frozenset({'SKU_4992993', 'SKU_3161221'})"
0.0005756082494489604,"frozenset({'SKU_3163783', 'SKU_7783784'})"
0.0008844712125679147,"frozenset({'SKU_3559555', 'SKU_3524026'})"
0.0006317651518342248,"frozenset({'SKU_3582465', 'SKU_3524026'})"
0.0005756082494489604,"frozenset({'SKU_3683946', 'SKU_3524026'})"
0.0005054121214673799,"frozenset({'SKU_3868338', 'SKU_3524026'})"
0.003650198655042188,"frozenset({'SKU_3898011', 'SKU_3524026'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_3524026'})"
0.00602282778081961,"frozenset({'SKU_3978011', 'SKU_3524026'})"
0.0012073734012831851,"frozenset({'SKU_3998011', 'SKU_3524026'})"
0.0006036867006415926,"frozenset({'SKU_4008011', 'SKU_3524026'})"
0.000533490572660012,"frozenset({'SKU_4208011', 'SKU_3524026'})"
0.0015021971388058234,"frozenset({'SKU_6318344', 'SKU_3524026'})"
0.0005054121214673799,"frozenset({'SKU_7064350', 'SKU_3524026'})"
0.000519451347063696,"frozenset({'SKU_7261032', 'SKU_3524026'})"
0.0007721574077973859,"frozenset({'SKU_9402188', 'SKU_3524026'})"
0.0008283143101826503,"frozenset({'SKU_3898011', 'SKU_3559555'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_3559555'})"
0.0016425893947689845,"frozenset({'SKU_3978011', 'SKU_3559555'})"
0.0007300397310084376,"frozenset({'SKU_3559555', 'SKU_3998011'})"
0.0010108242429347598,"frozenset({'SKU_4108011', 'SKU_3559555'})"
0.0009967850173384436,"frozenset({'SKU_6318344', 'SKU_3559555'})"
0.0009546673405494953,"frozenset({'SKU_3581365', 'SKU_3611367'})"
0.0006738828286231731,"frozenset({'SKU_3581365', 'SKU_3631365'})"
0.0006598436030268571,"frozenset({'SKU_3978011', 'SKU_3582465'})"
0.0006177259262379087,"frozenset({'SKU_4108011', 'SKU_3582465'})"
0.000519451347063696,"frozenset({'SKU_9402188', 'SKU_3582465'})"
0.0009406281149531791,"frozenset({'SKU_3631365', 'SKU_3611367'})"
0.000533490572660012,"frozenset({'SKU_3968356', 'SKU_3611367'})"
0.000533490572660012,"frozenset({'SKU_3611367', 'SKU_3998011'})"
0.0005615690238526443,"frozenset({'SKU_3631365', 'SKU_3968356'})"
0.0006879220542194892,"frozenset({'SKU_3631365', 'SKU_3998011'})"
0.0006177259262379087,"frozenset({'SKU_3672270', 'SKU_7783784'})"
0.0007440789566047536,"frozenset({'SKU_4108011', 'SKU_3683946'})"
0.0020216484858695196,"frozenset({'SKU_3898011', 'SKU_3690654'})"
0.0027657274424742733,"frozenset({'SKU_3968011', 'SKU_3690654'})"
0.000533490572660012,"frozenset({'SKU_6318344', 'SKU_3690654'})"
0.0005756082494489604,"frozenset({'SKU_3854099', 'SKU_3868338'})"
0.0005756082494489604,"frozenset({'SKU_3864099', 'SKU_6126322'})"
0.0008563927613752826,"frozenset({'SKU_3978011', 'SKU_3868338'})"
0.000519451347063696,"frozenset({'SKU_4108011', 'SKU_3868338'})"
0.0005756082494489604,"frozenset({'SKU_3868338', 'SKU_4976322'})"
0.004618905221187999,"frozenset({'SKU_3968011', 'SKU_3898011'})"
0.005138356568251695,"frozenset({'SKU_3898011', 'SKU_3978011'})"
0.0007300397310084376,"frozenset({'SKU_3898011', 'SKU_3988011'})"
0.0013898833340352946,"frozenset({'SKU_3898011', 'SKU_3998011'})"
0.0008844712125679147,"frozenset({'SKU_3898011', 'SKU_4108011'})"
0.0013477656572463462,"frozenset({'SKU_4440924', 'SKU_3898011'})"
0.0018531777787137262,"frozenset({'SKU_3908011', 'SKU_3988011'})"
0.0017127855227505651,"frozenset({'SKU_3908011', 'SKU_3998011'})"
0.0007019612798158054,"frozenset({'SKU_3968011', 'SKU_4008011'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_4108011'})"
0.0019233739066953066,"frozenset({'SKU_4440924', 'SKU_3968011'})"
0.0014600794620168753,"frozenset({'SKU_6318344', 'SKU_3968011'})"
0.0009406281149531791,"frozenset({'SKU_4008011', 'SKU_3978011'})"
0.004604865995591683,"frozenset({'SKU_4108011', 'SKU_3978011'})"
0.0005615690238526443,"frozenset({'SKU_4208011', 'SKU_3978011'})"
0.003692316331831136,"frozenset({'SKU_6318344', 'SKU_3978011'})"
0.001024863468531076,"frozenset({'SKU_7808101', 'SKU_3978011'})"
0.0009406281149531791,"frozenset({'SKU_9402188', 'SKU_3978011'})"
0.0006738828286231731,"frozenset({'SKU_6328344', 'SKU_3988011'})"
0.0008423535357789664,"frozenset({'SKU_4108011', 'SKU_3998011'})"
0.0007581181822010698,"frozenset({'SKU_6318344', 'SKU_3998011'})"
0.0010108242429347598,"frozenset({'SKU_6328344', 'SKU_3998011'})"
0.000519451347063696,"frozenset({'SKU_9526376', 'SKU_3998011'})"
0.0005756082494489604,"frozenset({'SKU_9594893', 'SKU_3998011'})"
0.0007019612798158054,"frozenset({'SKU_4108011', 'SKU_4008011'})"
0.0006036867006415926,"frozenset({'SKU_4108011', 'SKU_4112626'})"
0.0008283143101826503,"frozenset({'SKU_4208011', 'SKU_4108011'})"
0.0007440789566047536,"frozenset({'SKU_5079809', 'SKU_4108011'})"
0.0026814920888963765,"frozenset({'SKU_6318344', 'SKU_4108011'})"
0.0007581181822010698,"frozenset({'SKU_7261032', 'SKU_4108011'})"
0.0007019612798158054,"frozenset({'SKU_7808101', 'SKU_4108011'})"
0.0007440789566047536,"frozenset({'SKU_9402188', 'SKU_4108011'})"
0.0005475297982563282,"frozenset({'SKU_6318344', 'SKU_4208011'})"
0.0008985104381642309,"frozenset({'SKU_4208011', 'SKU_9277426'})"
0.0014179617852279269,"frozenset({'SKU_4472217', 'SKU_7351914'})"
0.0006317651518342248,"frozenset({'SKU_6126322', 'SKU_4976322'})"
0.0005896474750452766,"frozenset({'SKU_5528349', 'SKU_5928099'})"
0.001558354041191088,"frozenset({'SKU_8718362', 'SKU_5528349'})"
0.002793805893666905,"frozenset({'SKU_5528349', 'SKU_8798636'})"
0.0006036867006415926,"frozenset({'SKU_7057566', 'SKU_7067566'})"
0.001024863468531076,"frozenset({'SKU_9402188', 'SKU_7261032'})"
0.0008283143101826503,"frozenset({'SKU_8618636', 'SKU_8718362'})"
0.0007019612798158054,"frozenset({'SKU_9304227', 'SKU_9364227'})"
0.0006879220542194892,"frozenset({'SKU_3968011', 'SKU_3898011', 'SKU_2716578'})"
0.0012073734012831851,"frozenset({'SKU_3908011', 'SKU_2716578', 'SKU_3988011'})"
0.0005615690238526443,"frozenset({'SKU_3898011', 'SKU_2726578', 'SKU_3978011'})"
0.0005475297982563282,"frozenset({'SKU_3898011', 'SKU_2726578', 'SKU_3998011'})"
0.0009687065661458114,"frozenset({'SKU_3908011', 'SKU_2726578', 'SKU_3998011'})"
0.0026955313144926924,"frozenset({'SKU_3898011', 'SKU_3978011', 'SKU_3524026'})"
0.0016145109435763522,"frozenset({'SKU_3968011', 'SKU_3898011', 'SKU_3690654'})"
0.0010950595965126563,"frozenset({'SKU_4440924', 'SKU_3898011', 'SKU_3968011'})"
0.0005896474750452766,"frozenset({'SKU_6318344', 'SKU_4108011', 'SKU_3978011'})"
